FID IID Height
2518 55 NA
2459 56 1.92081478508952
667 57 NA
855 58 2.94555286830301
700 59 1.1890336308494
1224 60 -2.08598305975563
3591 61 -0.449188747775539
2027 62 1.06530911767148
155 63 0.422281201799763
3592 64 -0.456504717135359
3592 65 NA
701 66 0.518940535608809
856 67 NA
856 68 0.315208034439264
1296 69 -1.22325836055711
1631 70 NA
2519 71 0.329646098000229
3593 72 -0.298428396476781
3593 73 NA
1757 74 0.439815915180252
2312 75 0.00130571608969627
374 76 -0.58798736938517
3169 77 -0.453953980769736
2028 78 NA
2028 79 NA
2028 80 1.67636425660174
375 81 NA
375 82 1.29689201382151
1705 83 -0.645702217164602
857 84 NA
857 85 NA
857 86 1.47220933067256
376 88 -1.21849312756291
3918 89 NA
3918 90 -0.312596602259872
3170 91 -0.252675278386477
858 92 -1.60906626755475
3171 93 -0.99079209684401
2348 94 -1.70494038575219
3399 95 -1.08666621504144
2520 96 -0.709031113605621
801 97 1.57840197776156
859 98 -0.0298818452401441
1225 99 0.494972006059451
215 100 -1.02824530062645
2969 101 NA
1758 102 2.26376746291204
1758 103 NA
1759 104 -1.08725512675015
3594 105 -0.332486962475193
377 106 0.622775163022775
1545 107 1.50381931676203
1979 108 1.14109657175069
3595 109 NA
3595 110 0.913636057561606
1760 111 0.79689005963434
51 112 0.6708945667419
2029 113 -1.7283734300797
3987 114 1.99173885422308
2444 115 -0.528313368204096
1060 116 NA
1060 117 NA
1060 118 1.94380179512436
2030 119 1.39119570079572
2521 120 NA
2521 121 1.07729338244616
3172 122 1.62983423088608
3818 123 NA
3818 124 -0.697886779837992
3596 125 -0.697886779837992
216 126 NA
2031 127 0.190600153698277
3070 128 -0.7008583080438
735 129 -0.769792368486066
3597 130 NA
3597 131 0.617840074182628
1448 132 -0.451642546561824
1142 133 -0.552281897753454
1306 134 0.434265466574442
3435 135 NA
3435 136 1.60776926507698
1761 137 1.058090085891
2032 138 0.398312672250405
2032 139 NA
348 140 2.02390793506743
668 141 -0.410264425245693
1980 142 1.92039752293905
3173 143 -1.47662347366231
1186 144 0.535690033377685
2665 145 -1.49167741859425
2665 146 NA
860 147 -1.13936850713436
861 148 1.03657535512792
3919 149 NA
52 150 -0.123302164651292
802 151 -0.332486962475193
3174 152 2.2673769440407
702 153 -0.0658346395641814
2218 154 -0.97880783206933
3598 155 NA
3598 156 NA
3598 157 -0.77547245759455
2877 158 -0.962058334300455
2666 159 NA
2033 160 NA
2033 161 0.979429255557432
1575 162 -1.02674489116805
2522 163 1.92558001808371
2522 164 NA
3400 165 -1.12320792107419
2878 166 1.20666649618134
1762 167 0.94070123693049
1632 168 -0.226395314629207
2460 169 -1.80607049670107
1187 170 NA
1187 171 -0.920395554266174
2667 172 0.578076643870591
2313 173 -1.23524262533179
3301 174 1.96875184418823
2668 175 -0.895506890355287
378 176 -2.03082696887643
862 177 0.451800179954932
862 178 NA
3481 179 0.212257249039723
2669 180 NA
2669 181 NA
2669 182 -0.128754461305648
1143 183 -0.380424021573909
3175 184 -0.489906775093773
3176 185 -0.380424021573909
582 186 -0.128754461305648
4051 187 0.823383521279764
1284 188 0.0252742456390545
3599 189 0.0612270399630918
688 190 -0.866184216103022
4045 191 1.40086853136249
3600 192 -0.974042599075134
3482 193 0.713000206211587
863 194 NA
863 195 NA
863 196 -0.166023573936262
2349 197 1.87056629178289
3302 198 -0.533078601198293
3401 199 -0.839761887767379
1763 200 -0.317361835254069
864 201 0.923951739161613
583 202 0.626798918580921
3116 203 NA
3601 204 -1.15916071539823
3601 205 NA
53 206 -1.06915847132322
3530 207 0.0180552138585723
217 208 -0.942855037745294
3071 209 -0.561812363741848
1764 210 NA
1764 211 1.32924277507315
2670 212 -1.23524262533179
3988 213 -0.889583144342693
1188 214 -1.08725512675015
2671 215 1.32650914392813
2034 216 0.432739247978144
2523 217 1.83613990859509
2672 218 1.30885785213771
2672 219 NA
1189 220 0.0270409807651801
1307 221 -1.42868641456359
163 4853 0.811649548711924
3989 222 -0.200660049953723
346 223 0.0510095103145383
2035 224 1.26093921949748
3007 4852 -0.154489725981132
2524 225 1.34482907292023
2524 226 NA
1765 227 NA
1765 228 -0.311140922254993
865 229 0.497242985773966
2350 230 NA
2350 231 1.29882968837775
866 232 -0.866184216103022
2036 233 -1.58393180549005
2036 234 NA
2036 235 NA
2037 236 -0.243144812398083
2673 237 -0.679201212702354
3049 238 1.9749893564542
1766 239 -1.37183477084746
867 240 -1.16088323789743
3008 241 1.09986781241045
3177 242 NA
3177 243 0.535690033377685
2674 244 -0.0512707240430219
2674 245 NA
1144 246 -0.20280970381275
1226 247 -0.604984189846367
3602 248 0.622775163022775
3602 249 NA
2038 250 1.50649638911348
2038 251 NA
2038 252 NA
379 253 -0.238244386231091
3534 254 -0.59002839686588
2525 255 -0.467619348893789
3550 256 1.2506824801812
4018 257 1.32650914392813
